filename,label,r2_linear,r2_quadratic,variance_coefficient,linear_slope,linear_intercept,quadratic_a,has_central_peak,histogram_flatness,bimodal_extreme_ratio,kurtosis,skewness,noise_variance,var_mean_ratio,var_mean_squared_ratio,salt_pepper_score,impulse_ratio,median_diff_variance,dct_dc_energy,dct_ac_energy,edge_variance,peak_intensity,min_intensity,entropy
clean_original.png,clean,0.000114588620319656,0.0081010799611938,7.75383581246058,0.000309935977884416,0.0021433880569859,-0.010694297508268,1,5.15346932720747,7.40746227749835e-06,29.3886447465449,0.222106990221393,0.000241578509582217,0.122081456401795,0.281441718069649,0.0322833333333333,9.25925925925926e-06,0.000203296183773126,2.87843137254902,0.0827430618910809,0.000600310925510532,1,0,7.7518991870538
gaussian_01_sigma18.0.png,gaussian,0.000654664681472017,0.0174503629678009,2.0436044982684,0.000718897664083635,0.00400457869275414,-0.0149430514767245,1,1.68898563126611,1.85188614603974e-05,3.50961496994572,0.0321956822817598,0.00183614414241616,0.123612838576351,0.284251235753774,0.0375648148148148,2.96296296296296e-05,0.00219551867511341,2.84656862745098,2.57338584046566,0.000821822366818765,1,0,7.8041863980904
gaussian_02_sigma16.0.png,gaussian,0.000435806505667324,0.0135686266090619,2.57768549722861,0.000594397521133295,0.00363516536259801,-0.0134126679640288,1,1.94409598039109,3.70371742117563e-06,3.68580772287358,0.0278342832576118,0.00150487740637162,0.123298360086544,0.283690527835391,0.0366851851851852,2.59259259259259e-05,0.00178025422431214,2.87401960784314,1.76177809238332,0.000735309133490167,1,0,7.79867587975734
gaussian_03_sigma9.0.png,gaussian,0.000157924538410126,0.00914410924458353,5.01370614646361,0.000360673989892373,0.00264806990916721,-0.0112515973788208,1,2.34673877900155,1.66669444490741e-05,6.60057743641346,0.0527926988832799,0.000651046631762449,0.122455200905467,0.282062932394945,0.0339777777777778,1.48148148148148e-05,0.000711651304674263,2.9078431372549,1.28312922679068,0.000567836798156959,1,0,7.77680922050327
gaussian_04_sigma17.0.png,gaussian,0.000528991395506884,0.0152595002745621,2.27732469614825,0.000649042186505301,0.00382185895515293,-0.0140846385483239,1,1.86959181363875,1.296313100355e-05,3.56908562465246,0.0354749547378755,0.00166577258552942,0.123513643776356,0.284119441755207,0.0372388888888889,3.14814814814815e-05,0.00198234514707915,2.92352941176471,2.32652762624497,0.000778126917101632,1,0,7.80193134823205
gaussian_05_sigma14.0.png,gaussian,0.000329842602536545,0.0119391775654882,3.11738894388489,0.00051608086431606,0.00330574384157321,-0.012604655305494,1,1.96820208134558,1.296313100355e-05,4.05701184678309,0.0390605487359201,0.00121315660691822,0.123009572356223,0.283124514185952,0.0357296296296296,2.40740740740741e-05,0.00141369537441791,2.86764705882353,1.98787924267378,0.00067285099275641,1,0,7.79207657602832
gaussian_06_sigma17.0.png,gaussian,0.000404266352453608,0.0149655216081489,2.2831222189975,0.000567807902884733,0.00385398908060737,-0.0140257324945981,1,1.8646799849166,5.55558641992455e-06,3.5739811219568,0.0336071065085235,0.00166675555480409,0.123469636828134,0.284010288976861,0.0373277777777778,2.40740740740741e-05,0.00197734484117575,2.87549019607843,2.22431836115827,0.000778539426226593,1,0,7.80178680188519
gaussian_07_sigma6.0.png,gaussian,0.000134840321062923,0.00832039342152435,6.32640647607982,0.000335117707384453,0.00236795909906066,-0.010776761676139,1,2.8388056075954,9.25934499393512e-06,11.5577000760488,0.100534684718094,0.000426478137946677,0.122233191598846,0.281677927553969,0.0329722222222222,7.40740740740741e-06,0.000431515412430928,2.88235294117647,0.875071926473258,0.000550740795299454,1,0,7.76739860858903
gaussian_08_sigma5.0.png,gaussian,0.000122795963388156,0.00824122027535745,6.72874284962819,0.000320836701641591,0.00230497535137215,-0.0107782668402062,1,3.11169909789785,7.40746227749835e-06,14.2812153095154,0.11772551216407,0.000370604469710017,0.122171945541616,0.281558149384644,0.0327166666666667,9.25925925925926e-06,0.000362634554883105,2.87549019607843,0.655494554338546,0.000550899458995451,1,0,7.76443286014193
gaussian_09_sigma5.0.png,gaussian,0.000121862721940258,0.00829534888979766,6.720555805656,0.000319074013622112,0.00230392439673394,-0.0107857569973352,1,3.05393480454091,7.40746227749835e-06,14.2294447179841,0.125668143217399,0.000370284325554489,0.122153304212092,0.281520239352649,0.0329611111111111,1.48148148148148e-05,0.00036304459937808,2.875,0.571277115660563,0.000551529907092232,1,0,7.76418986847759
